country,date,cases
China,2021-03-01,904.0
China,2021-03-01,357.0
China,2021-03-01,1.0
China,2021-03-01,0.0
China,2021-03-01,980.0
China,2021-03-01,233.0
China,2021-03-01,1321.0
Colombia,2021-03-01,2255260.0
Comoros,2021-03-01,3578.0
Congo (Brazzaville),2021-03-01,8820.0
Congo (Kinshasa),2021-03-01,25962.0
Costa Rica,2021-03-01,205086.0
Cote d'Ivoire,2021-03-01,32791.0
Croatia,2021-03-01,243064.0
Cuba,2021-03-01,50590.0
Cyprus,2021-03-01,35009.0
Czechia,2021-03-01,1240051.0
Denmark,2021-03-01,658.0
Denmark,2021-03-01,30.0
Denmark,2021-03-01,211692.0
Diamond Princess,2021-03-01,712.0
Djibouti,2021-03-01,6087.0
Dominica,2021-03-01,142.0
Dominican Republic,2021-03-01,239998.0
Ecuador,2021-03-01,286367.0
Egypt,2021-03-01,183010.0
El Salvador,2021-03-01,60337.0
Equatorial Guinea,2021-03-01,6095.0
Eritrea,2021-03-01,2866.0
Estonia,2021-03-01,66628.0
Eswatini,2021-03-01,17025.0
Ethiopia,2021-03-01,159972.0
Fiji,2021-03-01,59.0
Finland,2021-03-01,58064.0
France,2021-03-01,16627.0
France,2021-03-01,18414.0
France,2021-03-01,9968.0
France,2021-03-01,6746.0
France,2021-03-01,17600.0
France,2021-03-01,58.0
France,2021-03-01,12416.0
France,2021-03-01,573.0
France,2021-03-01,24.0
France,2021-03-01,1544.0
France,2021-03-01,9.0
France,2021-03-01,3736390.0
Gabon,2021-03-01,14849.0
Gambia,2021-03-01,4712.0
Georgia,2021-03-01,270918.0
Germany,2021-03-01,2455569.0
Ghana,2021-03-01,84023.0
Greece,2021-03-01,192270.0
Grenada,2021-03-01,148.0
Guatemala,2021-03-01,174653.0
Guinea,2021-03-01,16005.0
Guinea-Bissau,2021-03-01,3262.0
Guyana,2021-03-01,8595.0
Haiti,2021-03-01,12448.0
Holy See,2021-03-01,27.0
Honduras,2021-03-01,170985.0
Hungary,2021-03-01,432925.0
Iceland,2021-03-01,6054.0
India,2021-03-01,11124527.0
Indonesia,2021-03-01,1341314.0
Iran,2021-03-01,1639679.0
Iraq,2021-03-01,699088.0
Ireland,2021-03-01,220273.0
Israel,2021-03-01,779958.0
Italy,2021-03-01,2938371.0
Jamaica,2021-03-01,23599.0
Japan,2021-03-01,432778.0
Jordan,2021-03-01,397158.0
Kazakhstan,2021-03-01,263396.0
Kenya,2021-03-01,106125.0
Kiribati,2021-03-01,0.0
"Korea, South",2021-03-01,90372.0
Kosovo,2021-03-01,68451.0
Kuwait,2021-03-01,192031.0
Kyrgyzstan,2021-03-01,86308.0
Laos,2021-03-01,45.0
Latvia,2021-03-01,86458.0
Lebanon,2021-03-01,376938.0
Lesotho,2021-03-01,10495.0
Liberia,2021-03-01,2014.0
Libya,2021-03-01,134127.0
Liechtenstein,2021-03-01,2575.0
Lithuania,2021-03-01,199398.0
Luxembourg,2021-03-01,55480.0
MS Zaandam,2021-03-01,9.0
Madagascar,2021-03-01,19831.0
Malawi,2021-03-01,32008.0
Malaysia,2021-03-01,302580.0
Maldives,2021-03-01,19979.0
Mali,2021-03-01,8390.0
Malta,2021-03-01,22657.0
Marshall Islands,2021-03-01,4.0
Mauritania,2021-03-01,17217.0
Mauritius,2021-03-01,619.0
Mexico,2021-03-01,2089281.0
Micronesia,2021-03-01,1.0
Moldova,2021-03-01,186447.0
Monaco,2021-03-01,1965.0
Mongolia,2021-03-01,3000.0
Montenegro,2021-03-01,76283.0
Morocco,2021-03-01,483766.0
Mozambique,2021-03-01,59607.0
Namibia,2021-03-01,39033.0
Nepal,2021-03-01,274216.0
Netherlands,2021-03-01,7908.0
Netherlands,2021-03-01,196.0
Netherlands,2021-03-01,4731.0
Netherlands,2021-03-01,2060.0
Netherlands,2021-03-01,1092452.0
New Zealand,2021-03-01,0.0
New Zealand,2021-03-01,2382.0
Nicaragua,2021-03-01,6445.0
Niger,2021-03-01,4740.0
Nigeria,2021-03-01,156017.0
North Macedonia,2021-03-01,103020.0
Norway,2021-03-01,71735.0
Oman,2021-03-01,141808.0
Pakistan,2021-03-01,582528.0
Palau,2021-03-01,0.0
Panama,2021-03-01,341420.0
Papua New Guinea,2021-03-01,1365.0
Paraguay,2021-03-01,160448.0
Peru,2021-03-01,1329805.0
Philippines,2021-03-01,578381.0
Poland,2021-03-01,1711772.0
Portugal,2021-03-01,804956.0
Qatar,2021-03-01,164137.0
Romania,2021-03-01,804090.0
Russia,2021-03-01,4209850.0
Rwanda,2021-03-01,18986.0
Saint Kitts and Nevis,2021-03-01,41.0
Saint Lucia,2021-03-01,3390.0
Saint Vincent and the Grenadines,2021-03-01,1628.0
Samoa,2021-03-01,3.0
San Marino,2021-03-01,3746.0
Sao Tome and Principe,2021-03-01,1828.0
Saudi Arabia,2021-03-01,377700.0
Senegal,2021-03-01,34732.0
Serbia,2021-03-01,462728.0
Seychelles,2021-03-01,2688.0
Sierra Leone,2021-03-01,3887.0
Singapore,2021-03-01,59948.0
Slovakia,2021-03-01,308925.0
Slovenia,2021-03-01,190324.0
Solomon Islands,2021-03-01,18.0
Somalia,2021-03-01,7392.0
South Africa,2021-03-01,1513959.0
South Sudan,2021-03-01,8010.0
Spain,2021-03-01,3204531.0
Sri Lanka,2021-03-01,83552.0
Sudan,2021-03-01,30364.0
Suriname,2021-03-01,8933.0
Sweden,2021-03-01,657309.0
Switzerland,2021-03-01,557492.0
Syria,2021-03-01,15642.0
Taiwan*,2021-03-01,955.0
Tajikistan,2021-03-01,13308.0
Tanzania,2021-03-01,509.0
Thailand,2021-03-01,26031.0
Timor-Leste,2021-03-01,113.0
Togo,2021-03-01,6933.0
Trinidad and Tobago,2021-03-01,7716.0
Tunisia,2021-03-01,233669.0
Turkey,2021-03-01,2711479.0
US,2021-03-01,28709454.0
Uganda,2021-03-01,40367.0
Ukraine,2021-03-01,1399934.0
United Arab Emirates,2021-03-01,394050.0
United Kingdom,2021-03-01,18.0
United Kingdom,2021-03-01,707.0
United Kingdom,2021-03-01,153.0
United Kingdom,2021-03-01,447.0
United Kingdom,2021-03-01,4038.0
United Kingdom,2021-03-01,54.0
United Kingdom,2021-03-01,4239.0
United Kingdom,2021-03-01,486.0
United Kingdom,2021-03-01,20.0
United Kingdom,2021-03-01,4.0
United Kingdom,2021-03-01,2114.0
United Kingdom,2021-03-01,4182009.0
