country,date,cases
Grenada,2021-07-01,161.0
Guatemala,2021-01-01,138236.0
Guatemala,2021-02-01,159632.0
Guatemala,2021-03-01,174653.0
Guatemala,2021-04-01,194756.0
Guatemala,2021-05-01,228477.0
Guatemala,2021-06-01,255833.0
Guatemala,2021-07-01,296438.0
Guinea,2021-01-01,13738.0
Guinea,2021-02-01,14555.0
Guinea,2021-03-01,16005.0
Guinea,2021-04-01,20083.0
Guinea,2021-05-01,22247.0
Guinea,2021-06-01,23194.0
Guinea,2021-07-01,23787.0
Guinea-Bissau,2021-01-01,2452.0
Guinea-Bissau,2021-02-01,2634.0
Guinea-Bissau,2021-03-01,3262.0
Guinea-Bissau,2021-04-01,3661.0
Guinea-Bissau,2021-05-01,3736.0
Guinea-Bissau,2021-06-01,3770.0
Guinea-Bissau,2021-07-01,3869.0
Guyana,2021-01-01,6348.0
Guyana,2021-02-01,7654.0
Guyana,2021-03-01,8595.0
Guyana,2021-04-01,10375.0
Guyana,2021-05-01,13404.0
Guyana,2021-06-01,17114.0
Guyana,2021-07-01,20142.0
Haiti,2021-01-01,10015.0
Haiti,2021-02-01,11533.0
Haiti,2021-03-01,12448.0
Haiti,2021-04-01,12762.0
Haiti,2021-05-01,13056.0
Haiti,2021-06-01,14565.0
Haiti,2021-07-01,18658.0
Holy See,2021-01-01,27.0
Holy See,2021-02-01,27.0
Holy See,2021-03-01,27.0
Holy See,2021-04-01,27.0
Holy See,2021-05-01,27.0
Holy See,2021-06-01,27.0
Holy See,2021-07-01,27.0
Honduras,2021-01-01,122974.0
Honduras,2021-02-01,147843.0
Honduras,2021-03-01,170985.0
Honduras,2021-04-01,189726.0
Honduras,2021-05-01,213167.0
Honduras,2021-06-01,238820.0
Honduras,2021-07-01,263376.0
Hungary,2021-01-01,325278.0
Hungary,2021-02-01,368710.0
Hungary,2021-03-01,432925.0
Hungary,2021-04-01,661721.0
Hungary,2021-05-01,781299.0
Hungary,2021-06-01,804712.0
Hungary,2021-07-01,808160.0
Iceland,2021-01-01,5754.0
Iceland,2021-02-01,6009.0
Iceland,2021-03-01,6054.0
Iceland,2021-04-01,6205.0
Iceland,2021-05-01,6472.0
Iceland,2021-06-01,6576.0
Iceland,2021-07-01,6649.0
India,2021-01-01,10325823.0
India,2021-02-01,10766245.0
India,2021-03-01,11124527.0
India,2021-04-01,12303131.0
India,2021-05-01,19557457.0
India,2021-06-01,28307832.0
India,2021-07-01,30458251.0
Indonesia,2021-01-01,751270.0
Indonesia,2021-02-01,1089308.0
Indonesia,2021-03-01,1341314.0
Indonesia,2021-04-01,1517854.0
Indonesia,2021-05-01,1672880.0
Indonesia,2021-06-01,1826527.0
Indonesia,2021-07-01,2203108.0
Iran,2021-01-01,1231429.0
Iran,2021-02-01,1424596.0
Iran,2021-03-01,1639679.0
Iran,2021-04-01,1897314.0
Iran,2021-05-01,2516157.0
Iran,2021-06-01,2923823.0
Iran,2021-07-01,3218860.0
Iraq,2021-01-01,596193.0
Iraq,2021-02-01,620620.0
Iraq,2021-03-01,699088.0
Iraq,2021-04-01,856939.0
Iraq,2021-05-01,1070366.0
Iraq,2021-06-01,1205522.0
Iraq,2021-07-01,1353458.0
Ireland,2021-01-01,93532.0
Ireland,2021-02-01,197553.0
Ireland,2021-03-01,220273.0
Ireland,2021-04-01,236600.0
Ireland,2021-05-01,249437.0
Ireland,2021-06-01,262380.0
Ireland,2021-07-01,272784.0
Israel,2021-01-01,428510.0
Israel,2021-02-01,652246.0
Israel,2021-03-01,779958.0
Israel,2021-04-01,833456.0
